clip_id,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Empathie,12.52982678403491,12.238655942636544,56.93382106381673,51.4147455848562,111.12711580574778,28.079041724155307,19.984725978970115
Entschuldigung,15.415232147604376,17.6156989465238,51.72881031226636,73.68584156809968,68.63114370017534,31.576541219957477,30.109004899791497
FestellenDiagnose,13.478113602417334,15.523808882634341,59.47871756361166,64.88422066920042,94.44063797528942,24.128660145512203,31.68723985378176
Frech,,13.674086827256033,76.29969360470933,,74.55119695874934,,27.178251954533643
Frieren,12.391025537010934,15.279207262666313,43.82602398748961,58.93745542554933,48.27882794305305,21.79378859311899,27.521031964416423
Frisch,15.615532468358579,12.892817594586635,67.17647701997176,80.47923582236307,90.86708791372362,26.68171911185349,17.746044324218015
Froh,12.409573647435252,13.671604177162271,50.133462533990546,49.645867846506874,88.22800733469008,17.452008529810662,22.575098830576177
Glas,13.690433203513741,13.537978944342651,43.71283312723249,38.46041037253276,61.72597856771823,21.508520165020048,18.312003576270243
IdiomPffIgnorieren,15.35714024288411,14.33701134229894,56.8959188120038,65.67461846933634,81.68857750608916,24.605888861529323,27.79809640311521
Jahr,,16.238184316004133,58.935358215463225,,61.08649544893101,,17.55380990133575
Klar,,14.521524942718285,59.33132984073904,,56.5325322088743,,22.48536125823876
Kochen,11.461981205804005,18.16415421817238,53.88516423948878,77.06712103253662,54.701185485023416,15.483108516779238,24.505787500755332
Lesen,11.002545053326994,11.82454055520122,52.109141835478205,102.26668675549875,54.1797021032981,19.58661930586604,14.761067707057276
LiebBitte,,13.956421722810761,73.87201620433993,,85.24553409219324,,25.32814083963556
Luegen,,14.792287522647612,76.98782859962249,,60.97053597700492,,25.13942459424791
Muell,,16.393407911399937,85.3314203543018,,92.93401246073668,,22.058121182693508
Mutter,,11.263499186910314,75.87699836070784,,60.70598906396324,,20.94227438874835
Naehen,18.929142900059066,12.767795839766974,43.57691037568188,51.79333419078832,55.75967187696302,26.15008495426497,19.216756486190448
