sign,frame,mpvpe_ubody,mpvpe_lhand,mpvpe_rhand,trv2v_ubody,trv2v_lhand,trv2v_rhand,pred_path,gt_path
IdiomPffIgnorieren,low_132,45.469642,16.246166,23.608087,19.904803,14.291762,13.797871,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_132.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00264.obj
IdiomPffIgnorieren,low_134,45.654986,16.520517,22.078868,18.907642,13.882043,12.147403,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_134.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00268.obj
IdiomPffIgnorieren,low_136,47.661342,15.969506,23.463480,20.365600,13.782687,12.774177,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_136.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00272.obj
IdiomPffIgnorieren,low_138,47.739822,15.782820,22.605985,20.106766,13.495528,13.340287,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_138.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00276.obj
IdiomPffIgnorieren,low_140,42.975012,16.191445,24.813341,20.623490,13.893003,13.761345,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_140.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00280.obj
IdiomPffIgnorieren,low_142,42.978168,16.788535,25.984164,19.562945,14.399680,15.061826,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_142.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00284.obj
IdiomPffIgnorieren,low_144,42.749245,16.483724,25.817785,18.927829,14.280533,15.788389,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_144.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00288.obj
IdiomPffIgnorieren,low_146,44.876494,15.038513,27.009221,19.780550,13.405995,15.723901,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_146.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00292.obj
IdiomPffIgnorieren,low_148,44.785231,14.824557,23.317777,18.709682,13.739903,13.557574,/home/haipd/DexAvatar/outputs/output_wilor/IdiomPffIgnorieren/smplifyx/meshes/low_148.obj,/home/haipd/DexAvatar/data/smplx_gt/IdiomPffIgnorieren/00296.obj
Naehen,low_119,43.746170,26.415076,20.199345,21.152988,17.376285,12.642322,/home/haipd/DexAvatar/outputs/output_wilor/Naehen/smplifyx/meshes/low_119.obj,/home/haipd/DexAvatar/data/smplx_gt/Naehen/00238.obj
Naehen,low_121,42.863052,24.852125,20.792479,19.950997,16.779667,12.991134,/home/haipd/DexAvatar/outputs/output_wilor/Naehen/smplifyx/meshes/low_121.obj,/home/haipd/DexAvatar/data/smplx_gt/Naehen/00242.obj
Naehen,low_123,42.910419,25.178244,18.597037,19.790720,16.699612,12.766082,/home/haipd/DexAvatar/outputs/output_wilor/Naehen/smplifyx/meshes/low_123.obj,/home/haipd/DexAvatar/data/smplx_gt/Naehen/00246.obj
Naehen,low_125,42.384937,24.381204,19.214788,21.725619,16.130179,13.248602,/home/haipd/DexAvatar/outputs/output_wilor/Naehen/smplifyx/meshes/low_125.obj,/home/haipd/DexAvatar/data/smplx_gt/Naehen/00250.obj
