clip_id,legacy_region_tr_hand_pve_mm,legacy_region_tr_left_hand_pve_mm,legacy_region_tr_right_hand_pve_mm,root_aligned_body_pve_mm,root_aligned_hand_pve_mm,root_aligned_left_hand_pve_mm,root_aligned_right_hand_pve_mm,wrist_aligned_hand_pve_mm,wrist_aligned_left_hand_pve_mm,wrist_aligned_right_hand_pve_mm
Duenn,14.95950639881913,,14.95950639881913,65.17631127984072,71.31238697232129,,71.31238697232129,14.669412476658966,,14.669412476658966
Einkaufen,12.360067767071204,9.921121967710956,14.799013566431451,48.645619954162946,55.37290435786977,52.49583767966444,58.2499710360751,22.720992820278557,17.434406163524837,28.007579477032273
Einnehmen,13.425696530757964,13.867437256759217,12.983955804756706,51.60777349041356,69.7194013177376,68.070702250114,71.36810038536117,20.962433791845477,23.567245121959516,18.357622461731445
EinstellenJob,10.436023492687562,12.103475942430995,8.768571042944133,42.58960516622852,66.46219034158064,53.85962561907123,79.06475506409005,21.42103940251211,23.899322785409524,18.9427560196147
EisGefroren,10.556249516253049,10.514487508131593,10.598011524374503,43.77109111537732,63.91134430290641,50.93165422632065,76.89103437949217,20.942213552412408,23.451107999129224,18.433319105695606
Empathie,10.72417734577206,10.932734765124218,10.515619926419902,56.85043823934852,80.31908350380301,53.20573733002991,107.43242967757612,20.353456521729097,25.433828599393603,15.273084444064592
Entschuldigung,13.77947737399464,12.474421196250375,15.084533551738899,46.74262560896941,63.83118729648376,65.06107462310624,62.60129996986129,26.23515916724041,26.92675271059586,25.54356562388496
FestellenDiagnose,11.895662435977114,10.734167763593046,13.057157108361176,59.46872128464575,78.60192070206439,61.47133442777067,95.73250697635811,22.704759004001403,17.87654954404832,27.532968463954482
Frech,12.623476585531906,,12.623476585531906,73.38830568797563,71.7516048194748,,71.7516048194748,24.177926085710478,,24.177926085710478
Frieren,11.775503441248361,10.501824246469146,13.049182636027579,44.56059800819185,53.468975365685154,58.161576856836554,48.776373874533775,20.684198501810204,17.282760030630815,24.085636972989594
Frisch,12.77412303906833,13.299733650495078,12.248512427641582,63.272802868144325,83.50806404383486,76.88767995220712,90.12844813546263,20.354640815030123,22.606706226691944,18.102575403368306
Froh,10.278626757257989,9.943822885990887,10.613430628525094,48.79048183386413,62.56111289768668,50.28370134734187,74.83852444803146,16.244990961107842,15.830160021618184,16.659821900597496
Glas,12.642466515626621,11.988424251772848,13.29650877948039,43.528818338161805,48.60758686705165,35.79966585318564,61.415507880917666,18.891878905284106,19.12049262648209,18.66326518408612
IdiomPffIgnorieren,13.002964829946599,13.191004549930485,12.814925109962715,55.736690669176156,73.16913525839638,68.78327233354662,77.55499818324613,19.958703929132174,16.610333559055235,23.307074299209116
Jahr,13.301096716161911,,13.301096716161911,56.40232264225623,52.570781131584454,,52.570781131584454,15.199885235711736,,15.199885235711736
Klar,12.603608383652672,,12.603608383652672,61.38132159782094,54.955944376115454,,54.955944376115454,18.22160145091029,,18.22160145091029
Kochen,13.044182852841407,10.570310082428255,15.51805562325456,52.97155220490714,64.9227366959786,77.84807535562709,51.99739803633009,16.722719679110952,14.816989505712941,18.628449852508965
